Date,Token0,Token1,FeeTier,TVLUSD,VolumeUSD,FeesUSD,APR
2022-01-18,CVX,USDT,3000,3988121.039172831649718470577788247,3008892.980596483077557251158564619,9026.678941789449232671753475693857,=I2*365/G2
2022-01-18,GALA,ETH,3000,7986037.285564618818170278915139644,2951839.077821380788224982658301657,8855.517233464142364674947974904985,=I2*365/G2
2022-01-18,LUSD,USDC,500,2090584.267674458908982289361477681,2878145.574223,1439.0727871115,=I2*365/G2
2022-01-18,MIM,USDT,500,913602.5822341882188762680082928494,2759764.993433956546869789458155007,1379.882496716978273434894729077503,=I2*365/G2
2022-01-18,XAUT,USDT,500,7140362.558938883396811121985475472,2613489.768861878638096877024711482,1306.744884430939319048438512355741,=I2*365/G2
2022-01-18,ETH,EURT,3000,7451040.928943300496048123105493901,2560539.805707129476319789725450469,7681.619417121388428959369176351401,=I2*365/G2
2022-01-18,HEX,ETH,3000,4570178.44593817280375218400034564,2342163.647009843043108135675552718,7026.490941029529129324407026658154,=I2*365/G2
2022-01-18,HEX,USDC,3000,32368354.04024281863580304505829901,2302280.147203,6906.840441609,=I2*365/G2
2022-01-18,USDC,SNX,10000,5060584.352286107265038521546913469,2201025.027253074583770434734355431,22010.25027253074583770434734355431,=I2*365/G2
2022-01-18,YFI,ETH,10000,11771524.97174371273922578458479255,2131502.683404269801370726649544354,21315.02683404269801370726649544354,=I2*365/G2
2022-01-18,AAVE,ETH,3000,8323814.141081980413248448320927995,2053660.925050943025938877222445642,6160.982775152829077816631667336926,=I2*365/G2
2022-01-18,OHM,ETH,10000,630724.4928259271693100309591648129,1958764.573808633922507681576809223,19587.64573808633922507681576809223,=I2*365/G2
2022-01-18,AGEUR,USDC,500,35059684.30491488518377800154682505,1933483.650978,966.741825489,=I2*365/G2
2022-01-18,DAI,USDT,500,14715869.632509425473035753,1806498.292819405372815745612205076,903.249146409702686407872806102538,=I2*365/G2
2022-01-18,NEXO,ETH,3000,7914659.577839989759268821867758284,1768785.754345899258535379085450502,5306.35726303769777560613725635151,=I2*365/G2
2022-01-18,WBTC,BADGER,3000,11982980.01263177257188770924644261,1702465.901587186809044767341106784,5107.397704761560427134302023320348,=I2*365/G2
2022-01-18,FXS,ETH,10000,5157783.190446961599326503300930026,1701664.20401119764533945052818463,17016.6420401119764533945052818463,=I2*365/G2
2022-01-18,TOWN,ETH,10000,2050266.675281638168575927883700789,1619042.35620667276282546616594914,16190.4235620667276282546616594914,=I2*365/G2
2022-01-18,USDC,EURS,500,13094491.60151581706313643549964564,1544321.790201,772.1608951005,=I2*365/G2
2022-01-18,PERP,ETH,3000,11357390.261550243046077062733407,1530930.91368235282444000761848582,4592.792741047058473320022855457461,=I2*365/G2
2022-01-18,ETH,SETH2,3000,82755373.73405729853556927651255965,1502168.929149999617706756719370712,4506.506787449998853120270158112133,=I2*365/G2
2022-01-18,ETH,AETH,3000,2281546.208257478909360151972635549,1497116.264360333985024290346422408,4491.348793081001955072871039267225,=I2*365/G2
2022-01-18,LQTY,ETH,3000,1569462.831922312060463212015459984,1487355.163581122773891582437609185,4462.065490743368321674747312827549,=I2*365/G2
2022-01-18,ASH,ETH,10000,2834502.845898063427662028918623281,1467813.641743276385637290524550277,14678.13641743276385637290524550277,=I2*365/G2
2022-01-18,DAI,USDC,500,88745535.20303023750106280899999999,1397098.365147892313888941591212617,698.5491825739461569444707956063086,=I2*365/G2
